Date,^SP500-255040,^SP500-30,^SP500-35,^SP500-60
2020-12-10,16.610078791468563,7.330877291339077,9.530857042425245,-5.4735581348346996
2020-12-11,16.021597256162366,7.644114435665683,9.075563315882862,-5.477779171205944
2020-12-14,16.14901437839109,7.209314912289133,8.218748532377319,-6.30429155212977
2020-12-15,17.83270595774844,7.452430158465795,9.373773990311495,-4.6849964742120775
2020-12-16,18.384361319427136,7.581782802652048,9.00835773304105,-4.6723462341116795
2020-12-17,19.563536118240798,8.236326776796353,10.233952129198777,-3.516908307057487
2020-12-18,18.862364333850845,8.471651757836707,10.265032404083364,-5.279583496957474
2020-12-21,19.17170958678085,7.337107601063475,9.201566093112024,-6.030194437278902
2020-12-22,18.724634804114615,6.426978249370485,8.845399063141457,-5.456693292869719
2020-12-23,18.63625558371462,6.749575126168539,8.931923431163913,-6.359113548902606
2020-12-24,18.8351133249971,7.181264250644515,9.192327119944421,-5.574766490144556
2020-12-28,18.89772501277587,8.044632987673218,9.485492761300417,-4.769333553050292
2020-12-29,17.757579125025934,7.7874971666358705,9.964299213118387,-5.439822016398088
2020-12-30,17.882793509818452,7.656584567037705,9.96514005196385,-5.102473701045229
2020-12-31,17.89384316005971,8.516842905165834,11.219292206469822,-3.8964348135894444
2021-01-04,16.91352610252852,7.327757380515254,10.62119943405393,-7.059123528822441
2021-01-05,17.415102902902248,7.338667556475387,11.358738151093828,-7.13502496942483
2021-01-06,20.00766192997201,7.266976190990282,12.927886994540504,-7.641053876960779
2021-01-07,20.304483047193255,6.919448563371433,14.418079019573703,-7.3585211238740955
2021-01-08,21.371704839656893,7.4493102476419715,14.959897114138542,-6.35067791066678
2021-01-11,21.790782379970587,6.5048999245799655,15.541183363777854,-7.9025071862179
2021-01-12,23.715318573374166,6.177632693469426,14.302996893203002,-7.847685189445064
2021-01-13,22.770362194768023,6.349056574160983,14.591127755618594,-6.5699594632514735
2021-01-14,21.56172465889936,5.741273214680964,14.150958874161912,-5.9880226806064645
2021-01-15,23.034771603999225,5.3111440456169,14.51636487730008,-4.613309635474261
2021-01-19,22.117066234246828,4.845173949771908,15.396702640213466,-5.131988783110608
2021-01-20,23.04139779783798,5.10698963704499,16.06116015662571,-3.2596760341716102
2021-01-21,24.082843066915395,4.678420423392815,15.479022814008703,-3.5885951457953036
2021-01-22,24.312638030720368,4.3698536333787175,15.15814025314992,-3.2934121526082216
2021-01-25,24.14324302649291,5.315823911852635,15.910793561143244,-2.4964148537497732
2021-01-26,23.388306467129215,6.292955250871746,15.452146733351334,-1.3873632852326123
2021-01-27,19.467056218534573,4.383874208239402,11.925750648625133,-2.7578617285002327
2021-01-28,21.714927295279374,4.874784566828438,13.579742182403365,-2.445813893348181
2021-01-29,18.441075065335898,2.7397287637039414,12.639766386257168,-3.4410068664550986
2021-02-01,18.214229072465926,2.758429204800361,12.996774255073174,-1.2524252459927943
2021-02-02,20.343511958256965,3.4690745022339264,13.311781198146132,-0.8475982592600406
2021-02-03,21.51974677690063,3.6389479394368207,12.517116710277488,-1.2186891275561829
2021-02-04,23.97383903150041,4.407254515571535,12.920329699063782,-0.7295250619852145
2021-02-05,24.403237970086657,5.337634751849607,13.205097206097594,-0.387955710261112
2021-02-08,26.130381916910217,5.811404624754157,13.368896714842627,-0.16445955581184668
2021-02-09,25.09777456987281,5.669581849195882,13.510865176002952,0.3078332332874689
